title_name,title_type,title_genres,title_rate,title_score,opinion,commentator_review_rate,user_name,sex,age,start_year
Fullmetal Alchemist: Brotherhood,TV Сериал,"Shounen, Action, Adventure, Comedy, Drama, Fantasy, Military",R-17,9.12,positive,10,AstAAfeV346,-,-,2022
Fullmetal Alchemist: Brotherhood,TV Сериал,"Shounen, Action, Adventure, Comedy, Drama, Fantasy, Military",R-17,9.12,positive,8,destructioN-,муж,21,2022
